p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.32E-60,0.831163907,1,0.995,4.75E-56,0,RPS18
2.42E-59,0.88407472,0.987,0.967,8.74E-55,0,RPS28
2.52E-57,0.97390374,0.958,0.675,9.11E-53,0,MT-CO1
7.23E-57,0.858539641,0.994,0.979,2.61E-52,0,RPS29
1.07E-55,0.740444365,1,0.991,3.86E-51,0,RPS14
2.75E-53,1.034144562,0.99,0.87,9.94E-49,0,ZFAS1
8.18E-53,0.821059504,0.994,0.907,2.96E-48,0,RPS12
2.74E-52,0.73391,0.997,0.993,9.89E-48,0,RPL18A
1.82E-51,0.746404093,1,1,6.57E-47,0,EEF1A1
3.67E-51,0.757363476,1,0.993,1.33E-46,0,RPL41
8.85E-51,0.770241365,0.997,0.997,3.20E-46,0,RPS19
2.41E-49,0.841748778,1,0.995,8.71E-45,0,RPS27
3.45E-48,0.806361934,0.997,0.972,1.25E-43,0,RPL27A
4.86E-48,0.893825079,0.997,0.98,1.76E-43,0,RPL34
9.74E-48,0.797755496,0.99,0.938,3.52E-43,0,RPL12
1.41E-47,1.224323971,0.958,0.673,5.09E-43,0,COL3A1
1.86E-47,0.761861519,1,0.993,6.74E-43,0,RPL23
3.65E-47,0.734288012,0.994,0.997,1.32E-42,0,RPL13A
1.18E-46,0.750637702,0.994,0.962,4.25E-42,0,RPS15A
1.91E-46,0.759120451,0.997,0.953,6.91E-42,0,RPLP2
1.86E-45,0.81997748,0.994,0.962,6.71E-41,0,RPL39
3.59E-45,0.805600285,0.958,0.675,1.30E-40,0,RPS8
1.02E-44,0.609956753,1,0.997,3.70E-40,0,RPL15
1.19E-44,0.704652404,0.994,0.992,4.32E-40,0,RPLP1
1.39E-44,0.701401593,0.994,0.99,5.02E-40,0,RPL13
1.83E-44,0.981376896,0.958,0.677,6.62E-40,0,COL1A1
3.53E-44,0.685079111,0.997,0.99,1.27E-39,0,RPS6
6.79E-44,0.73374765,0.997,0.965,2.46E-39,0,RPS23
7.33E-44,0.703275921,1,0.99,2.65E-39,0,SERF2
1.26E-43,1.505403034,0.964,0.707,4.54E-39,0,IGFBP5
3.62E-43,0.759283861,0.974,0.959,1.31E-38,0,TPT1
6.96E-43,0.691104533,1,0.997,2.51E-38,0,RPL21
1.84E-42,0.798928954,0.987,0.939,6.63E-38,0,RPS4X
2.78E-42,0.741954941,0.997,0.993,1.01E-37,0,RPL10
8.58E-42,0.798642496,0.981,0.944,3.10E-37,0,OST4
