"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","4/27","121/18986",0.0330578512396694,23.2457912457912,9.26385198497221,2.45917397232881e-05,0.0118849492116701,0.00772743492855927,"AURKB/CDCA2/CDC25C/TTK",4
"GO:0140014","GO:0140014","mitotic nuclear division","5/27","282/18986",0.0177304964539007,12.4678224323614,7.32179788996977,4.30862172237907e-05,0.0118849492116701,0.00772743492855927,"AURKB/CDCA2/CDC25C/TTK/TPX2",5
"GO:0051783","GO:0051783","regulation of nuclear division","4/27","151/18986",0.0264900662251656,18.6274221241109,8.20680162171602,5.85153919846461e-05,0.0118849492116701,0.00772743492855927,"AURKB/CDCA2/CDC25C/TTK",4
"GO:0042552","GO:0042552","myelination","4/27","158/18986",0.0253164556962025,17.8021565869667,8.00333408216166,6.97939227057505e-05,0.0118849492116701,0.00772743492855927,"MAG/CDK18/BCAS1/CNTN2",4
"GO:0007272","GO:0007272","ensheathment of neurons","4/27","160/18986",0.025,17.5796296296296,7.94758640783907,7.32884843474007e-05,0.0118849492116701,0.00772743492855927,"MAG/CDK18/BCAS1/CNTN2",4
"GO:0008366","GO:0008366","axon ensheathment","4/27","160/18986",0.025,17.5796296296296,7.94758640783907,7.32884843474007e-05,0.0118849492116701,0.00772743492855927,"MAG/CDK18/BCAS1/CNTN2",4
"GO:0071600","GO:0071600","otic vesicle morphogenesis","2/27","10/18986",0.2,140.637037037037,16.6677799655287,8.70271399995989e-05,0.0120967724599442,0.00786515956988856,"SOX9/EYA1",2
"GO:1901993","GO:1901993","regulation of meiotic cell cycle phase transition","2/27","12/18986",0.166666666666667,117.197530864198,15.1945395552883,0.000127415919654959,0.0140511025583394,0.00913583884628329,"CDC25C/TTK",2
"GO:0045665","GO:0045665","negative regulation of neuron differentiation","3/27","73/18986",0.0410958904109589,28.8980213089802,9.01226783414302,0.000149275760093965,0.0140511025583394,0.00913583884628329,"SOX9/MAG/CNTN2",3
"GO:0045664","GO:0045664","regulation of neuron differentiation","4/27","194/18986",0.0206185567010309,14.4986636120657,7.13156110053324,0.00015428713157697,0.0140511025583394,0.00913583884628329,"SOX9/EYA1/MAG/CNTN2",4
"GO:0034501","GO:0034501","protein localization to kinetochore","2/27","15/18986",0.133333333333333,93.758024691358,13.5622416617439,0.000202174137530063,0.0140511025583394,0.00913583884628329,"AURKB/TTK",2
"GO:0044771","GO:0044771","meiotic cell cycle phase transition","2/27","15/18986",0.133333333333333,93.758024691358,13.5622416617439,0.000202174137530063,0.0140511025583394,0.00913583884628329,"CDC25C/TTK",2
"GO:0071599","GO:0071599","otic vesicle development","2/27","15/18986",0.133333333333333,93.758024691358,13.5622416617439,0.000202174137530063,0.0140511025583394,0.00913583884628329,"SOX9/EYA1",2
"GO:1903083","GO:1903083","protein localization to condensed chromosome","2/27","15/18986",0.133333333333333,93.758024691358,13.5622416617439,0.000202174137530063,0.0140511025583394,0.00913583884628329,"AURKB/TTK",2
"GO:0048708","GO:0048708","astrocyte differentiation","3/27","90/18986",0.0333333333333333,23.4395061728395,8.05246932818121,0.00027745899420909,0.0168022490540569,0.0109245974809198,"SOX9/MAG/CNTN2",3
"GO:0007059","GO:0007059","chromosome segregation","5/27","429/18986",0.0116550116550117,8.19563152896486,5.68883251406616,0.0003080799930264,0.0168022490540569,0.0109245974809198,"HJURP/AURKB/CDCA2/TTK/TPX2",5
"GO:0031643","GO:0031643","positive regulation of myelination","2/27","19/18986",0.105263157894737,74.0194931773879,12.016991725403,0.00032810147176473,0.0168022490540569,0.0109245974809198,"MAG/CDK18",2
"GO:0061323","GO:0061323","cell proliferation involved in heart morphogenesis","2/27","19/18986",0.105263157894737,74.0194931773879,12.016991725403,0.00032810147176473,0.0168022490540569,0.0109245974809198,"SOX9/EYA1",2
"GO:2000136","GO:2000136","regulation of cell proliferation involved in heart morphogenesis","2/27","19/18986",0.105263157894737,74.0194931773879,12.016991725403,0.00032810147176473,0.0168022490540569,0.0109245974809198,"SOX9/EYA1",2
"GO:0000280","GO:0000280","nuclear division","5/27","451/18986",0.0110864745011086,7.79584462511292,5.51207205627423,0.000387668886709247,0.0188600913384049,0.012262578995382,"AURKB/CDCA2/CDC25C/TTK/TPX2",5
"GO:0048709","GO:0048709","oligodendrocyte differentiation","3/27","110/18986",0.0272727272727273,19.1777777777778,7.21542002994257,0.00050015457815275,0.022304961282368,0.0145023873323991,"SOX9/MAG/CNTN2",3
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","5/27","479/18986",0.0104384133611691,7.34013763241321,5.30368716399423,0.000510489789006051,0.022304961282368,0.0145023873323991,"CDK18/RRM2/AURKB/CDC25C/TTK",5
"GO:0090103","GO:0090103","cochlea morphogenesis","2/27","24/18986",0.0833333333333333,58.5987654320988,10.6550672260185,0.000527249855595543,0.022304961282368,0.0145023873323991,"SOX9/EYA1",2
"GO:0021895","GO:0021895","cerebral cortex neuron differentiation","2/27","27/18986",0.0740740740740741,52.0877914951989,10.0246857414211,0.000668762666927204,0.0250271567276988,0.0162723223815081,"ELAVL4/CNTN2",2
